"filename", "language", "JSON with Comments", "TypeScript", "JSON", "Markdown", "MS SQL", "JavaScript", "comment", "blank", "total"
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\repositories\interfaces\focus.repository.interface.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 39, 7, 60
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\repositories\interfaces\personal-checkin.repository.interface.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 5, 3, 18
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\repositories\interfaces\public-checkin.repository.interface.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 12, 3, 26
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\repositories\personal-checkin.repository.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 1, 30
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\repositories\public-checkin.repository.ts", "TypeScript", 0, 86, 0, 0, 0, 0, 2, 11, 99
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\services\focus.service.ts", "TypeScript", 0, 63, 0, 0, 0, 0, 12, 13, 88
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\services\interface\focus-service.interface.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 10, 3, 24
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\services\interface\personal-checkin-service.interface.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 1, 3
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\services\interface\public-checkin-service.interface.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 1, 2, 7
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\services\personal-checkin.service.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 3, 3, 24
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\checkIn\services\public-checkin.service.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 69, 13, 96
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\comment\comment.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\database.module.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\mongodb\mongodb.interface.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 21, 5, 33
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\mongodb\mongodb.module.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 0, 1, 25
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\mongodb\mongodb.service.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 0, 6, 29
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\redis\dto\verification-redis.dto.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 1, 8
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\redis\redis.module.ts", "TypeScript", 0, 59, 0, 0, 0, 0, 4, 1, 64
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\redis\servers\forAuth.service.ts", "TypeScript", 0, 123, 0, 0, 0, 0, 73, 28, 224
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\redis\servers\forFocus.service.ts", "TypeScript", 0, 30, 0, 0, 0, 0, 12, 7, 49
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\redis\servers\redis.interface.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\redis\servers\redis.service.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 1, 10, 55
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\typeorm\typeorm.config.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 3, 22
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\database\typeorm\typeorm.module.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 1, 15
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\mail\config\mail.config.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 2, 1, 16
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\mail\handlers\verification.handler.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 2, 4, 26
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\mail\mail.moudle.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 1, 1, 25
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\mail\mail.service.ts", "TypeScript", 0, 49, 0, 0, 0, 0, 21, 8, 78
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\mail\processing\mail-parser.service.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 1, 2, 16
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\mail\processing\mail-queue.service.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 3, 22
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\mail\transport\smtp-server.service.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 1, 6, 33
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\notification\notice.entity.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\controllers\habit.controller.ts", "TypeScript", 0, 112, 0, 0, 0, 0, 21, 16, 149
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\controllers\listicle.controller.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 1, 4, 34
"c:\Users\karry-yang\Desktop\NOTICEYOU-NEXTJS\notice_you_service_node\notice_you_service\src\modules\task\controllers\personal-task.controller.ts", "TypeScript", 0, 45, 0, 0, 0, 0, 7, 6, 58
